	disorder	class	gene_list
1065	Ewing sarcoma	Cancer	EWSR1, EWS
1066	Exertional myoglobinuria due to deficiency of LDH-A	Metabolic	LDHA, LDH1
1067	Exostoses, multiple, type 1	Bone	EXT1
1068	Exostoses, multiple, type 2	Bone	EXT2
1069	Exudative vitreoretinopathy	Ophthamological	FZD4, EVR1
1070	Exudative vitreoretinopathy, dominant	Ophthamological	LRP5, BMND1, LRP7, LR3, OPPG, VBCH2
1071	Exudative vitreoretinopathy, recessive	Ophthamological	LRP5, BMND1, LRP7, LR3, OPPG, VBCH2
1072	Exudative vitreoretinopathy, X-linked	Ophthamological	NDP, ND
1073	Eye anomalies, multiplex	Ophthamological	PAX6, AN2, MGDA
1074	Ezetimibe, nonresponse to	Unclassified	NPC1L1
1075	Fabry disease	Metabolic	GLA
1076	Facioscapulohumeral muscular dystrophy-1A	Muscular	FSHMD1A, FSHD1A
1077	Factor H and factor H-like 1	Hematological	HF1, CFH, HUS
1078	Factor V and factor VIII, combined deficiency of	Hematological	MCFD2
1079	Factor VII deficiency	Hematological	F7
1080	Factor X deficiency	Hematological	F10
1081	Factor XI deficiency, autosomal dominant	Hematological	F11
1082	Factor XI deficiency, autosomal recessive	Hematological	F11
1083	Factor XII deficiency	Hematological	F12, HAF
1084	Factor XIIIA deficiency	Hematological	F13A1, F13A
1085	Factor XIIIB deficiency	Hematological	F13B
1086	Familial Mediterranean fever	Immunological	MEFV, MEF, FMF
1087	Fanconi anemia, complementation group A	multiple	FANCA, FACA, FA1, FA, FAA
1088	Fanconi anemia, complementation group B	multiple	FAAP95, FAAP90, FLJ34064, FANCB
1089	Fanconi anemia, complementation group C	multiple	FANCC, FACC
1090	Fanconi anemia, complementation group D1	multiple	BRCA2, FANCD1
1091	Fanconi anemia, complementation group D2	multiple	FANCD2, FANCD, FACD, FAD
1092	Fanconi anemia, complementation group E	multiple	FANCE, FACE
1093	Fanconi anemia, complementation group F	multiple	FANCF
1094	Fanconi anemia, complementation group G	multiple	XRCC9, FANCG
1095	Fanconi anemia, complementation group J	multiple	BRIP1, BACH1, FANCJ
1096	Fanconi anemia, complementation group L	multiple	PHF9, FANCL
1097	Fanconi anemia, complementation group M	multiple	FANCM, KIAA1596
1098	Fanconi-Bickel syndrome	Metabolic	SLC2A2, GLUT2
1099	Farber lipogranulomatosis	Metabolic	ASAH, AC
1100	Fatty liver, acute, of pregnancy	Metabolic	HADHA, MTPA
1101	Favism	Metabolic	G6PD, G6PD1
1102	Fechtner syndrome	multiple	MYH9, MHA, FTNS, DFNA17
1103	Feingold syndrome	multiple	MYCN, NMYC, ODED, MODED
1104	Fertile eunuch syndrome	Endocrine	GNRHR, LHRHR
1105	Fibrocalculous pancreatic diabetes, susceptibility to	Gastrointestinal	SPINK1, PSTI, PCTT, TATI
1106	Fibromatosis, gingival	Connective tissue	SOS1, GINGF, GF1, HGF
1107	Fibromatosis, juvenile hyaline	Connective tissue	ANTXR2, CMG2, JHF, ISH
1108	Fibrosis of extraocular muscles, congenital, 1	Ophthamological	KIF21A, KIAA1708, FEOM1, CFEOM1
1109	Fibrosis of extraocular muscles, congenital, 2	Ophthamological	PHOX2A, ARIX, CFEOM2
1110	Fibular hypoplasia and complex brachydactyly	Skeletal	GDF5, CDMP1
1111	Fish-eye disease	Metabolic	LCAT
1112	Fish-odor syndrome	Metabolic	FMO3
1113	Fitzgerald factor deficiency	Hematological	KNG
1114	Fluorouracil toxicity, sensitivity to	Metabolic	DPYD, DPD
1115	Focal cortical dysplasia, Taylor balloon cell type	Developmental	TSC1, LAM
1116	Follicle-stimulating hormone deficiency, isolated	Endocrine	FSHB
1117	Forebrain defects	Neurological	TDGF1
1118	Foveal hypoplasia, isolated	Ophthamological	PAX6, AN2, MGDA
1119	Foveomacular dystrophy, adult-onset, with choroidal neovascularization	Ophthamological	RDS, RP7, PRPH2, PRPH, AVMD, AOFMD
1120	Fragile X syndrome	Neurological	FMR1, FRAXA
1121	Fraser syndrome	multiple	FRAS1
1122	Fraser syndrome	multiple	FREM2
1123	Frasier syndrome	multiple	WT1
1124	Friedreich ataxia	Neurological	FRDA, FARR
1125	Friedreich ataxia with retained reflexes	Neurological	FRDA, FARR
1126	Frontometaphyseal dysplasia	Skeletal	FLNA, FLN1, ABPX, NHBP, OPD1, OPD2, FMD, MNS
1127	Fructose-bisphosphatase deficiency	Metabolic	FBP1
1128	Fructose intolerance	Metabolic	ALDOB
1129	Fructosuria	Metabolic	KHK
1130	Fuchs endothelial corneal dystrophy	Ophthamological	COL8A2, FECD, PPCD2
1131	Fucosidosis	Metabolic	FUCA1
1132	Fucosyltransferase-6 deficiency	Metabolic	FUT6
1133	Fumarase deficiency	Metabolic	FH
1134	Fundus albipunctatus	Ophthamological	RDH5
1135	Fundus albipunctatus	Ophthamological	RLBP1
1136	Fundus flavimaculatus	Ophthamological	ABCA4, ABCR, STGD1, FFM, RP19
1137	G6PD deficiency	Metabolic	G6PD, G6PD1
1138	GABA-transaminase deficiency	Metabolic	ABAT, GABAT
1139	Galactokinase deficiency with cataracts	Metabolic	GALK1
1140	Galactose epimerase deficiency	Metabolic	GALE
1141	Galactosemia	Metabolic	GALT
1142	Galactosialidosis	Metabolic	PPGB, GSL, NGBE, GLB2, CTSA
1143	GAMT deficiency	Metabolic	GAMT
1144	Gardner syndrome	Cancer	APC, GS, FPC
1145	Gastric cancer	Cancer	APC, GS, FPC
1146	Gastric cancer	Cancer	IRF1, MAR
1147	Gastric cancer, familial diffuse	Cancer	CDH1, UVO
1148	Gastric cancer risk after H. pylori infection	Cancer	IL1B
1149	Gastric cancer risk after H. pylori infection	Cancer	IL1RN
1150	Gastric cancer, somatic	Cancer	CASP10, MCH4, ALPS2
1151	Gastric cancer, somatic	Cancer	ERBB2, NGL, NEU, HER2
1152	Gastric cancer, somatic	Cancer	FGFR2, BEK, CFD1, JWS
1153	Gastric cancer, somatic	Cancer	KLF6, COPEB, BCD1, ZF9
1154	Gastric cancer, somatic	Cancer	MUTYH
1155	Gastrointestinal stromal tumor, somatic	Cancer	KIT, PBT
1156	Gastrointestinal stromal tumor, somatic	Cancer	PDGFRA
1157	Gaucher disease	Metabolic	GBA
1158	Gaucher disease, variant form	Metabolic	PSAP, SAP1
1159	Gaucher disease with cardiovascular calcification	Metabolic	GBA
1160	Gaze palsy, horizontal, with progressive scoliosis	Neurological	ROBO3, RBIG1, RIG1, HGPPS
1161	Generalized epilepsy and paroxysmal dyskinesia	Neurological	KCNMA1, SLO
1162	Generalized epilepsy with febrile seizures plus	Neurological	SCN1B, GEFSP1
1163	Germ cell tumor	Cancer	BCL10
1164	Germ cell tumors	Cancer	KIT, PBT
1165	Gerstmann-Straussler disease	Neurological	PRNP, PRIP
1166	Giant axonal neuropathy-1	Neurological	GAN, GAN1
1167	Giant-cell fibroblastoma	Cancer	PDGFB, SIS
1168	Giant cell hepatitis, neonatal	Gastrointestinal	CYP7B1
1169	Giant platelet disorder, isolated	Hematological	GP1BB
1170	Gilbert syndrome	Metabolic	UGT1A1, UGT1, GNT1
1171	Gitelman syndrome	Renal	SLC12A3, NCCT, TSC
1172	Glanzmann thrombasthenia, type A	Hematological	ITGA2B, GP2B, CD41B
1173	Glanzmann thrombasthenia, type B	Hematological	ITGB3, GP3A
1174	Glaucoma 1A, primary open angle, juvenile-onset	Ophthamological	MYOC, TIGR, GLC1A, JOAG, GPOA
1175	Glaucoma 1A, primary open angle, recessive	Ophthamological	MYOC, TIGR, GLC1A, JOAG, GPOA
1176	Glaucoma 1E, primary open angle, adult-onset	Ophthamological	OPTN, GLC1E, FIP2, HYPL, NRP
1177	Glaucoma 3A, primary congenital	Ophthamological	CYP1B1, GLC3A
1178	Glaucoma, early-onset, digenic	Ophthamological	CYP1B1, GLC3A
1179	Glaucoma, early-onset, digenic	Ophthamological	MYOC, TIGR, GLC1A, JOAG, GPOA
1180	Glaucoma, normal tension, susceptibility to	Ophthamological	OPA1, NTG, NPG
1181	Glaucoma, normal tension, susceptibility to	Ophthamological	OPTN, GLC1E, FIP2, HYPL, NRP
1182	Glaucoma, primary open angle, adult-onset	Ophthamological	CYP1B1, GLC3A
1183	Glaucoma, primary open angle, juvenile-onset	Ophthamological	CYP1B1, GLC3A
1184	Glioblastoma, early-onset	Cancer	MSH2, COCA1, FCC1, HNPCC1
1185	Glioblastoma multiforme, somatic	Cancer	DMBT1
1186	Glioblastoma, somatic	Cancer	ERBB2, NGL, NEU, HER2
1187	Glioblastoma, somatic	Cancer	LGI1, EPT, ETL1
1188	Glioblastoma, susceptibility to	Cancer	PPARG, PPARG1, PPARG2
1189	Glomerulocystic kidney disease, hypoplastic	Renal	TCF2, HNF2
1190	Glomerulosclerosis, focal segmental, 1	Renal	ACTN4, FSGS1, FSGS
1191	Glomerulosclerosis, focal segmental, 2	Renal	TRPC6, TRP6, FSGS2
1192	Glomerulosclerosis, focal segmental, 3	Renal	CD2AP, CMS
1193	Glomuvenous malformations	Cardiovascular	GLML, GVM, VMGLOM
1194	Glucocorticoid deficiency 2	Endocrine	MRAP, FALP, C21orf61
1195	Glucocorticoid deficiency, due to ACTH unresponsiveness	Endocrine	MC2R
1196	Glucose/galactose malabsorption	Metabolic	SLC5A1, SGLT1
1197	Glucose transport defect, blood-brain barrier	Metabolic	SLC2A1, GLUT1
1198	Glucosidase I deficiency	Metabolic	GCS1
1199	Glutamate formiminotransferase deficiency	Metabolic	FTCD
1200	Glutaricaciduria, type I	Metabolic	GCDH
1201	Glutaricaciduria, type IIA	Metabolic	ETFA, GA2, MADD
1202	Glutaricaciduria, type IIB	Metabolic	ETFB, MADD
1203	Glutaricaciduria, type IIC	Metabolic	ETFDH, MADD
1204	Glutathione synthetase deficiency	Metabolic	GSS, GSHS
1205	Glycerol kinase deficiency	Metabolic	GK
1206	Glycine encephalopathy	Metabolic	AMT, NKH, GCE
1207	Glycine encephalopathy	Metabolic	GCSH, NKH
1208	Glycine encephalopathy	Metabolic	GLDC, HYGN1, GCSP, GCE, NKH
1209	Glycine N-methyltransferase deficiency	Metabolic	GNMT
1210	Glycogenosis, hepatic, autosomal	Metabolic	PHKG2
1211	Glycogenosis, X-linked hepatic, type I	Metabolic	PHKA2, PHK
1212	Glycogenosis, X-linked hepatic, type II	Metabolic	PHKA2, PHK
1213	Glycogen storage disease I	Metabolic	G6PC, G6PT
1214	Glycogen storage disease Ib	Metabolic	G6PT1
1215	Glycogen storage disease Ic	Metabolic	G6PT1
1216	Glycogen storage disease II	Metabolic	GAA
1217	Glycogen storage disease IIb	Metabolic	LAMP2, LAMPB
1218	Glycogen storage disease IIIa	Metabolic	AGL, GDE
1219	Glycogen storage disease IIIb	Metabolic	AGL, GDE
1220	Glycogen storage disease IV	Metabolic	GBE1
1221	Glycogen storage disease, type 0	Metabolic	GYS2
1222	Glycogen storage disease VI	Metabolic	PYGL
1223	Glycogen storage disease VII	Metabolic	PFKM
1224	GM1-gangliosidosis	Metabolic	GLB1
1225	GM2-gangliosidosis, AB variant	Metabolic	GM2A
1226	GM2-gangliosidosis, several forms	Metabolic	HEXA, TSD
1227	Gnthodiaphyseal dysplasia	Bone	TMEM16E, GDD1
1228	Goiter, congenital	Endocrine	TPO, TPX
1229	Goiter, nonendemic, simple	Endocrine	TG, AITD3
1230	Goldberg-Shprintzen megacolon syndrome	multiple	KIAA1279
1231	Gonadal dysgenesis, 46XY, partial, with minifascicular neuropathy	Endocrine	DHH
1232	Gonadal dysgenesis, XY type	Endocrine	SRY, TDF
1233	GRACILE syndrome	Metabolic	BCS1L, FLNMS, GRACILE
1234	Graft-versus-host disease, protection against	Immunological	IL10, CSIF
1235	Graves disease, susceptibility to	Endocrine	CTLA4
1236	Graves disease, susceptibility to, 3	Endocrine	GC, DBP
1237	Greenberg dysplasia	Skeletal	LBR, PHA
1238	Greig cephalopolysyndactyly syndrome	Skeletal	GLI3, PAPA, PAPB, ACLS
1239	Griscelli syndrome, type 1	Dermatological	MYO5A, MYH12, GS1
1240	Griscelli syndrome, type 2	Dermatological	RAB27A, RAM, GS2
1241	Griscelli syndrome, type 3	Dermatological	MLPH
1242	Growth hormone deficient dwarfism	Endocrine	GHRHR
1243	Growth hormone insensitivity with immunodeficiency	Endocrine	STAT5B
1244	Growth retardation with deafness and mental retardation due to IGF1 deficiency	Developmental	IGF1
1245	Guttmacher syndrome	multiple	HOXA13, HOX1J
1246	Gyrate atrophy of choroid and retina with ornithinemia, B6 responsive or unresponsive	Metabolic	OAT
1247	Hailey-Hailey disease	Dermatological	ATP2C1, BCPM, HHD
1248	Haim-Munk syndrome	multiple	CTSC, CPPI, PALS, PLS, HMS
1249	Hand-foot-uterus syndrome	multiple	HOXA13, HOX1J
1250	Harderoporphyrinuria	Metabolic	CPO
1251	HARP syndrome	Metabolic	PANK2, NBIA1, PKAN, HARP
1252	Hartnup disorder	Metabolic	SLC6A19, HND
1253	Hay-Wells syndrome	multiple	TP73L, TP63, KET, EEC3, SHFM4, LMS, RHS
1254	HDL deficiency, familial	Metabolic	ABCA1, ABC1, HDLDT1, TGD
1255	HDL response to hormone replacement, augmented	Metabolic	ESR1, ESR
1256	Hearing loss, low-frequency sensorineural	Ear,Nose,Throat	WFS1, WFRS, WFS, DFNA6
1257	Heart block, nonprogressive	Cardiovascular	SCN5A, LQT3, IVF, HB1, SSS1
1258	Heart block, progressive, type I	Cardiovascular	SCN5A, LQT3, IVF, HB1, SSS1
1259	Heinz body anemia	Hematological	HBA2
1260	Heinz body anemias, alpha-	Hematological	HBA1
1261	Heinz body anemias, beta-	Hematological	HBB
1262	HELLP syndrome, maternal, of pregnancy	Metabolic	HADHA, MTPA
1263	Hemangioblastoma, cerebellar, somatic	Cancer	VHL
1264	Hemangioma, capillary infantile, somatic	Cancer	FLT4, VEGFR3, PCL
1265	Hemangioma, capillary infantile, somatic	Cancer	KDR
1266	Hematopoiesis, cyclic	Hematological	ELA2
1267	Hematuria, familial benign	Renal	COL4A4
1268	Heme oxygenase-1 deficiency	Metabolic	HMOX1
1269	Hemiplegic migraine, familial	Neurological	CACNA1A, CACNL1A4, SCA6
1270	Hemochromatosis	Metabolic	HFE, HLA-H, HFE1
1271	Hemochromatosis, juvenile	Metabolic	HAMP, LEAP1, HEPC, HFE2
1272	Hemochromatosis, juvenile, digenic	Metabolic	HAMP, LEAP1, HEPC, HFE2
1273	Hemochromatosis, type 2A	Metabolic	HJV, HFE2A
1274	Hemochromatosis, type 3	Metabolic	TFR2, HFE3
1275	Hemochromatosis, type 4	Metabolic	SLC40A1, SLC11A3, FPN1, IREG1, HFE4
1276	Hemoglobin H disease	Hematological	HBA2
1277	Hemolytic anemia due to adenylate kinase deficiency	Hematological	AK1
1278	Hemolytic anemia due to band 3 defect defect	Hematological	SLC4A1, AE1, EPB3
1279	Hemolytic anemia due to bisphosphoglycerate mutase deficiency	Hematological	BPGM
1280	Hemolytic anemia due to G6PD deficiency	Hematological	G6PD, G6PD1
1281	Hemolytic anemia due to gamma-glutamylcysteine synthetase deficiency	Hematological	GCLC, GLCLC
1282	Hemolytic anemia due to glucosephosphate isomerase deficiency	Hematological	GPI
1283	Hemolytic anemia due to glutathione synthetase deficiency	Hematological	GSS, GSHS
1284	Hemolytic anemia due to hexokinase deficiency	Hematological	HK1
1285	Hemolytic anemia due to PGK deficiency	Hematological	PGK1, PGKA
1286	Hemolytic anemia due to triosephosphate isomerase deficiency	Hematological	TPI1
1287	Hemolytic-uremic syndrome	Hematological	HF1, CFH, HUS
1288	Hemophagocytic lymphohistiocytosis, familial, 2	Hematological	PRF1, HPLH2
1289	Hemophagocytic lymphohistiocytosis, familial, 3	Hematological	UNC13D, MUNC13-4, HPLH3, HLH3, FHL3
1290	Hemophilia A	Hematological	F8, F8C, HEMA
1291	Hemophilia B	Hematological	F9, HEMB
1292	Hemorrhagic diathesis due to \`antithrombin\' Pittsburgh	Hematological	PI, AAT
1293	Hemorrhagic diathesis due to factor V deficiency	Hematological	F5
1294	Hemosiderosis, systemic, due to aceruloplasminemia	Hematological	CP
1295	Hepatic adenoma	Cancer	TCF1, HNF1A, MODY3
1296	Hepatic failure, early onset, and neurologic disorder	Gastrointestinal	SCOD1, SCO1
1297	Hepatic lipase deficiency	Metabolic	LIPC
1298	Hepatoblastoma	Cancer	CTNNB1
1299	Hepatocellular cancer	Cancer	PDGFRL, PDGRL, PRLTS
1300	Hepatocellular carcinoma	Cancer	AXIN1, AXIN
1301	Hepatocellular carcinoma	Cancer	CTNNB1
1302	Hepatocellular carcinoma	Cancer	TP53, P53, LFS1
1303	Hepatocellular carcinoma	Cancer	IGF2R, MPRI
1304	Hepatocellular carcinoma, childhood type	Cancer	MET
1305	Hepatocellular carcinoma, somatic	Cancer	CASP8, MCH5
1306	Hereditary hemorrhagic telangiectasia-1	Cardiovascular	ENG, END, HHT1, ORW
1307	Hereditary hemorrhagic telangiectasia-2	Cardiovascular	ACVRL1, ACVRLK1, ALK1, HHT2
1308	Hereditary persistence of alpha-fetoprotein	Hematological	AFP, HPAFP
1309	Hermansky-Pudlak syndrome	multiple	HPS1
1310	Hermansky-Pudlak syndrome	multiple	HPS3
1311	Hermansky-Pudlak syndrome	multiple	HPS4
1312	Hermansky-pudlak syndrome	multiple	HPS5, RU2, KIAA1017
1313	Hermansky-Pudlak syndrome	multiple	HPS6, RU
1314	Hermansky-Pudlak syndrome	multiple	AP3B1, ADTB3A, HPS2
1315	Hermansky-Pudlak syndrome 7	multiple	DTNBP1, HPS7
1316	Heterotaxy, visceral	multiple	CFC1, CRYPTIC, HTX2
1317	Heterotaxy, X-linked visceral	multiple	ZIC3, HTX1, HTX
1318	Heterotopia, periventricular	Neurological	FLNA, FLN1, ABPX, NHBP, OPD1, OPD2, FMD, MNS
1319	Heterotopia, periventricular, ED variant	Neurological	FLNA, FLN1, ABPX, NHBP, OPD1, OPD2, FMD, MNS
1320	Heterotopia, periventricular nodular, with frontometaphyseal dysplasia	Neurological	FLNA, FLN1, ABPX, NHBP, OPD1, OPD2, FMD, MNS
1321	Hex A pseudodeficiency	Metabolic	HEXA, TSD
1322	High-molecular-weight kininogen deficiency	Hematological	KNG
1323	Hirschsprung disease	Gastrointestinal	EDN3
1324	Hirschsprung disease	Gastrointestinal	GDNF
1325	Hirschsprung disease	Gastrointestinal	NRTN, NTN
1326	Hirschsprung disease	Gastrointestinal	RET, MEN2A
1327	Hirschsprung disease-2	Gastrointestinal	EDNRB, HSCR2, ABCDS
1328	Hirschsprung disease, cardiac defects, and autonomic dysfunction	Gastrointestinal	ECE1
1329	Hirschsprung disease, short-segment	Gastrointestinal	PMX2B, NBPHOX, PHOX2B
1330	Histidinemia	Metabolic	HAL, HSTD
1331	Histiocytoma	Cancer	TP53, P53, LFS1
1332	HIV-1 disease, delayed progression of	Immunological	CCL5, SCYA5, D17S136E, TCP228
1333	HIV-1 disease, rapid progression of	Immunological	CCL5, SCYA5, D17S136E, TCP228
1334	HIV-1, susceptibility to	Immunological	IL10, CSIF
1335	HIV infection, susceptibility/resistance to	Immunological	CMKBR2, CCR2
1336	HIV infection, susceptibility/resistance to	Immunological	CMKBR5, CCCKR5
1337	HMG-CoA lyase deficiency	Metabolic	HMGCL
1338	HMG-CoA synthase-2 deficiency	Metabolic	HMGCS2
1339	Holocarboxylase synthetase deficiency	Metabolic	HLCS, HCS
1340	Holoprosencephaly-2	Developmental	SIX3, HPE2
1341	Holoprosencephaly-3	Developmental	SHH, HPE3, HLP3, SMMCI
1342	Holoprosencephaly-4	Developmental	TGIF, HPE4
1343	Holoprosencephaly-5	Developmental	ZIC2, HPE5
1344	Holoprosencephaly-7	Developmental	PTCH, NBCCS, BCNS, HPE7
1345	Holt-Oram syndrome	Developmental	TBX5
1346	Homocysteine, total plasma, elevated	Metabolic	CTH
1347	Homocystinuria, B6-responsive and nonresponsive types	Metabolic	CBS
1348	Homocystinuria due to MTHFR deficiency	Metabolic	MTHFR
1349	Homocystinuria-megaloblastic anemia, cbl E type	Metabolic	MTRR
1350	Homozygous 2p16 deletion syndrome	multiple	SLC3A1, ATR1, D2H, NBAT
1351	Hoyeraal-Hreidarsson syndrome	multiple	DKC1, DKC
1352	HPFH, deletion type	Hematological	HBB
1353	HPFH, nondeletion type A	Hematological	HBG1
1354	HPFH, nondeletion type G	Hematological	HBG2
1355	HPRT-related gout	Metabolic	HPRT1, HPRT
1356	H. pylori infection, susceptibility to	Immunological	IFNGR1
1357	Huntington disease	Neurological	HD, IT15
1358	Huntington disease-like 1	Neurological	PRNP, PRIP
1359	Huntington disease-like 2	Neurological	JPH3, JP3, HDL2
1360	Huntington disease-like-4	Neurological	TBP, SCA17
1361	Hyalinosis, infantile systemic	multiple	ANTXR2, CMG2, JHF, ISH
1362	Hydrocephalus due to aqueductal stenosis	Neurological	L1CAM, CAML1, HSAS1
1363	Hydrocephalus with congenital idiopathic intestinal pseudoobstruction	Neurological	L1CAM, CAML1, HSAS1
1364	Hydrocephalus with Hirschsprung disease and cleft palate	Neurological	L1CAM, CAML1, HSAS1
1365	Hyperalphalipoproteinemia	Metabolic	CETP
1366	Hyperammonemia with hypoornithinemia, hypocitrullinemia, hypoargininemia, and hypoprolinemia	Metabolic	PYCS, GSAS
1367	Hyperandrogenism, nonclassic type, due to 21-hydroxylase deficiency	Endocrine	CYP21A2, CYP21, CA21H
1368	Hyperapobetalipoproteinemia, susceptibility to	Metabolic	PPARA, PPAR
1369	Hyperbilirubinemia, familial transcient neonatal	Gastrointestinal	UGT1A1, UGT1, GNT1
1370	Hypercalciuria, absorptive, susceptibility to	Renal	SAC, HCA2
1371	Hypercholanemia, familial	Gastrointestinal	BAAT
1372	Hypercholanemia, familial	Gastrointestinal	EPHX1
1373	Hypercholanemia, familial	Gastrointestinal	TJP2, ZO2
1374	Hypercholesterolemia, due to ligand-defective apo B	Metabolic	APOB, FLDB
1375	Hypercholesterolemia, familial	Metabolic	LDLR, FHC, FH
1376	Hypercholesterolemia, familial, 3	Metabolic	PCSK9, NARC1, HCHOLA3, FH3
1377	Hypercholesterolemia, familial, autosomal recessive	Metabolic	ARH, FHCB2, FHCB1
1378	Hypercholesterolemia, familial, due to LDLR defect, modifier of	Metabolic	EPHX2
1379	Hypercholesterolemia, familial, modification of	Metabolic	APOA2
1380	Hypercholesterolemia, susceptibility to	Metabolic	GSBS
1381	Hypercholesterolemia, susceptibility to	Metabolic	ITIH4, PK120, ITIHL1
1382	Hyperekplexia and spastic paraparesis	Neurological	GLRA1, STHE
1383	Hyperekplexia, autosomal recessive	Neurological	GLRB
1384	Hypereosinophilic syndrome, idiopathic, resistant to imatinib	Hematological	PDGFRA
1385	Hyperferritinemia-cataract syndrome	Ophthamological	FTL
1386	Hyper-IgD syndrome	Immunological	MVK, MVLK
1387	Hyperinsulinism, familial	Metabolic	GCK
1388	Hyperinsulinism-hyperammonemia syndrome	Metabolic	GLUD1
1389	Hyperkalemic periodic paralysis	Neurological	SCN4A, HYPP, NAC1A
1390	Hyperkeratotic cutaneous capillary-venous malformations associated with cerebral capillary malformations	Neurological	CCM1, CAM, KRIT1
